variant,family,layer,expert,count,weight_sum
base,bit_manipulation,10,53,120,44.11549809575081
base,bit_manipulation,10,108,19,7.082518696784973
base,bit_manipulation,10,116,12,4.579962968826294
base,bit_manipulation,10,37,257,125.24827173352242
base,bit_manipulation,10,64,23,8.614149928092957
base,bit_manipulation,10,20,12,3.653512418270111
base,bit_manipulation,10,34,5,1.50889053940773
base,bit_manipulation,10,12,22,7.525767475366592
base,bit_manipulation,10,127,57,26.62590405344963
base,bit_manipulation,10,111,168,75.26615169644356
base,bit_manipulation,10,106,78,28.075229942798615
base,bit_manipulation,10,88,34,12.16394054889679
base,bit_manipulation,10,45,82,27.28910145163536
base,bit_manipulation,10,49,26,8.46543237566948
base,bit_manipulation,10,22,33,11.283955991268158
base,bit_manipulation,10,102,13,4.485883414745331
base,bit_manipulation,10,11,2,0.7609298229217529
base,bit_manipulation,10,83,4,1.3344147503376007
base,bit_manipulation,10,89,12,4.518647134304047
base,bit_manipulation,10,84,33,11.832871824502945
base,bit_manipulation,10,31,3,1.1310003101825714
base,bit_manipulation,10,51,1,0.3974768817424774
base,bit_manipulation,10,4,21,8.741328805685043
base,bit_manipulation,10,35,5,2.0799158811569214
base,bit_manipulation,10,16,29,11.349302619695663
base,bit_manipulation,10,115,5,1.4852550327777863
base,bit_manipulation,10,114,10,5.123812735080719
base,bit_manipulation,10,42,4,1.4285425543785095
base,bit_manipulation,10,25,4,1.4985529780387878
base,bit_manipulation,13,23,11,2.0395306469872594
base,bit_manipulation,13,45,16,20.922115981578827
base,bit_manipulation,13,85,105,32.208226814400405
base,bit_manipulation,13,96,5,0.31167650735005736
base,bit_manipulation,13,119,32,11.5821504117921
base,bit_manipulation,13,11,332,142.98158073844388
base,bit_manipulation,13,19,113,48.85193330049515
base,bit_manipulation,13,40,20,7.398363873362541
base,bit_manipulation,13,46,48,19.397453904151917
